type,Label,ID,session,bias,bias_error,MgO,FeO,CaO,Cr2O3,MnO,Yield,Fo,R_Mg_Si
standard,WK-Ol,WISTD91 WKOL8_3,1,-0.163840633,0.283394823,51.35,6.13,0.132,0.2432792,0.4431096,1.929097836,0.937203623,9.22
standard,WK-Ol,WISTD91 WKOL8_4,1,-0.131352892,0.283394823,51.35,6.13,0.132,0.2432792,0.4431096,1.925187985,0.937203623,9.22
standard,WK-Ol,WISTD91 WKOL8_5,1,0.090727016,0.314093773,51.35,6.13,0.132,0.2432792,0.4431096,1.903359386,0.937203623,9.22
standard,WK-Ol,WISTD91 WKOL8_6,1,-0.182514097,0.314093773,51.35,6.13,0.132,0.2432792,0.4431096,1.883469656,0.937203623,9.22
standard,WK-Ol,WISTD91 WKOL8_7,1,-0.009503893,0.240849458,51.35,6.13,0.132,0.2432792,0.4431096,1.941841448,0.937203623,9.22
standard,WK-Ol,WISTD91 WKOL1_2,1,-0.32136936,0.262958172,52.04,5.22,0.124,0.22,0.1,1.911628618,0.946700118,8.9
standard,WK-Ol,WISTD91 WKOL1_3,1,-0.172046761,0.283394823,52.04,5.22,0.124,0.22,0.1,1.920392605,0.946700118,8.9
standard,WK-Ol,WISTD91 WKOL1_4,1,-0.307246097,0.283394823,52.04,5.22,0.124,0.22,0.1,1.887039579,0.946700118,8.9
standard,WK-Ol,WISTD91 WKOL1_5,1,-0.306788961,0.314093773,52.04,5.22,0.124,0.22,0.1,1.89982091,0.946700118,8.9
standard,WK-Ol,WISTD91 WKOL1_6,1,-0.255711443,0.314093773,52.04,5.22,0.124,0.22,0.1,1.874729361,0.946700118,8.9
standard,WK-Ol,WISTD91 WKOL1_7,1,0.055133463,0.222195818,52.04,5.22,0.124,0.22,0.1,1.906030283,0.946700118,8.9
standard,WK-Ol,WISTD91 WKOL10_1,1,-0.070996347,0.262958172,52.04,5.22,0.124,0.22,0.1,1.935179415,0.946700118,8.9
standard,WN-Ol,WISTD91 WNOL1E_3,1,-0.589051519,0.283394823,53.52,5.16,0,0,0.34,1.903681219,0.948663485,8.44
standard,WN-Ol,WISTD91 WNOL1E_4,1,-0.657235686,0.283394823,53.52,5.16,0,0,0.34,1.903700931,0.948663485,8.44
standard,WN-Ol,WISTD91 WNOL1E_5,1,-0.553103642,0.314093773,53.52,5.16,0,0,0.34,1.898849485,0.948663485,8.44
standard,WN-Ol,WISTD91 WNOL1E_6,1,-0.578369762,0.314093773,53.52,5.16,0,0,0.34,1.92844818,0.948663485,8.44
standard,WN-Ol,WISTD91 WNOL1E_7,1,-0.505689608,0.210440306,53.52,5.16,0,0,0.34,1.929082008,0.948663485,8.44
standard,WN-Ol,WISTD91 WNOL1E_2,1,-0.58825494,0.262958172,53.99,4.01,0,0,0.34,1.918729587,0.959980288,8.44
standard,WN-Ol,WISTD91 WNOL4A_2,1,-0.402344861,0.262958172,53.99,4.01,0,0,0.3,1.897062724,0.959980288,8.39
standard,WN-Ol,WISTD91 WNOL4A_3,1,-0.329838284,0.314093773,53.99,4.01,0,0,0.3,1.895049384,0.959980288,8.39
standard,WN-Ol,WISTD91 WNOL4A_4,1,-0.47565831,0.314093773,53.99,4.01,0,0,0.3,1.865606758,0.959980288,8.39
standard,WN-Ol,WISTD91 WNOL4A_5,1,-0.403113987,0.245640642,53.99,4.01,0,0,0.3,1.884563202,0.959980288,8.39
standard,HN-Ol,WI-STD-91 HNOL,2,-1.402734297,0.125435113,57.31,0,0,0,0,2.173659437,1,7.66
standard,HN-Ol,WI-STD-91 HNOL,2,-1.458855136,0.125435113,57.31,0,0,0,0,2.188528935,1,7.66
standard,N7325-Ol,NWA7325 OL7_1,2,-0.127860136,0.208653698,54.69,2.58,0.316,0.45,0.12,2.268454521,0.974204583,8.31
standard,N7325-Ol,NWA7325 OL7_2,2,-0.153098984,0.208653698,54.69,2.58,0.316,0.45,0.12,2.27746405,0.974204583,8.31
standard,SK-Ol,WI-STD-15 Skye-X_1,2,-1.1451786,0.210756102,56.58,0.23,0.054,0,0.0719015,2.159964819,0.999464599,7.78563713
standard,SK-Ol,WI-STD-15 Skye-S_1,2,-1.093952152,0.212083618,56.73,0.19,0.032,0,0.083432,2.193425623,0.999683495,7.83
standard,SK-Ol,WI-STD-15 Skye-U_1,2,-1.129502458,0.209434313,56.73,0.19,0.032,0,0.083432,2.184635908,0.999683495,7.83
standard,SK-Ol,WI-STD-15 Skye-V_1,2,-1.090621377,0.211902835,56.91,0.19,0.032,0,0.083432,2.1927314,0.999684496,7.83
standard,SK-Ol,WI-STD-15 Skye-W_1,2,-1.002554709,0.210744745,56.84,0.16,0.03,0,0.0723755,2.181020194,0.999703845,7.881768854
standard,WK-Ol,WI-STD-91 WKOL1_1,2,-0.072307682,0.143880011,52.04,5.22,0.124,0.22,0.1,2.236084421,0.946700118,7.95
standard,WK-Ol,WI-STD-91 WKOL1_2,2,-0.063677288,0.145237787,52.04,5.22,0.124,0.22,0.1,2.237631211,0.946700118,7.95
standard,WN-Ol,WI-STD-91 WNOL1E_1,2,-0.449810792,0.125435113,53.52,5.16,0,0,0.34,2.268502384,0.948663485,7.752715946
standard,WN-Ol,WI-STD-91 WNOL1E_2,2,-0.416886472,0.125435113,53.52,5.16,0,0,0.34,2.253846246,0.948663485,7.752715946
standard,WN-Ol,WI-STD-91 WNOL4A_1,2,-0.332245896,0.125435113,53.99,4.01,0,0,0.3,2.241405111,0.959980288,7.665169245
standard,WN-Ol,WI-STD-91 WNOL4A_2,2,-0.334191997,0.125435113,53.99,4.01,0,0,0.3,2.237367303,0.959980288,7.665169245
standard,A77257-Ol,WI-STD91 A77257_1,3,1.4,0.219134355,44.96,13.4461566,0.3181324,0.8245854,0.4549814,1.94,0.856265532,11
standard,FJ-Ol,WI-STD-91 FJOL2_1,3,1.22,0.225939893,37.13,24.21,0.059,0,0.421457575,1.83,0.732078261,9.99
standard,FJ-Ol,WI-STD-91 FJOL2_2,3,1.15,0.221364703,37.13,24.21,0.059,0,0.421457575,1.83,0.732078261,9.99
standard,HN-Ol,WI-STD-91 HNOL,3,-1.42,0.127140502,57.31,0,0,0,0,1.71,1,8.23
standard,HN-Ol,WI-STD-91 HNOL,3,-1.5,0.195643446,57.31,0,0,0,0,1.71,1,8.23
standard,HN-Ol,WI-STD-91 HNOL,3,-1.58,0.195643446,57.31,0,0,0,0,1.72,1,8.23
standard,HN-Ol,WI-STD-91 HNOL,3,-1.51,0.195643446,57.31,0,0,0,0,1.72,1,8.23
standard,HN-Ol,WI-STD-91 HNOL,3,-1.59,0.195643446,57.31,0,0,0,0,1.72,1,8.23
standard,KN-Ol,WISTD91 KNOL1-2_1,3,1.15,0.201388681,39.67,20.07,0.377,0.8,0.4455648,1.87,0.778837049,10.42
standard,KN-Ol,WISTD91 KNOL1-2_1,3,1.17,0.198694959,39.67,20.07,0.377,0.8,0.4455648,1.87,0.778837049,10.42
standard,N7325-Ol,NWA7325 OL7_1,3,0.08,0.169503965,54.69,2.58,0.316,0.45,0.12,1.85,0.974204583,8.91
standard,N7325-Ol,NWA7325 OL7_2,3,0.04,0.162792727,54.69,2.58,0.316,0.45,0.12,1.85,0.974204583,8.91
standard,N7325-Ol,NWA7325 OL7_3,3,0.06,0.168567715,54.69,2.58,0.316,0.45,0.12,1.86,0.974204583,8.91
standard,N7325-Ol,NWA7325 OL7_4,3,0.1,0.159672326,54.69,2.58,0.316,0.45,0.12,1.86,0.974204583,8.91
standard,N7325-Ol,NWA7325 OL7_5,3,0.15,0.17088278,54.69,2.58,0.316,0.45,0.12,1.86,0.974204583,8.91
standard,OR-Ol,WI-STD-91 OROL17_1,3,0.87,0.16806235,27.55,35.77,0.037,0,0.6648172,1.57,0.578452992,7.87
